band_index_in_qz_native,band_nm
1403,1070.59
1404,1071.19
1405,1071.79
1406,1072.39
1407,1072.99
1408,1073.59
1409,1074.19
1410,1074.79
1411,1075.39
1412,1075.99
1413,1076.59
1414,1077.19
1415,1077.79
1416,1078.39
1417,1078.99
1418,1079.59
1419,1080.19
1420,1080.79
1421,1081.39
1422,1081.99
1423,1082.59
1424,1083.19
1425,1083.79
1426,1084.39
1427,1084.99
1428,1085.59
1429,1086.19
1430,1086.79
1431,1087.39
1432,1087.99
1433,1088.59
1434,1089.19
1435,1089.79
1436,1090.39
1437,1090.99
1438,1091.59
1439,1092.18
1440,1092.78
1441,1093.38
1442,1093.98
1443,1094.58
1444,1095.18
1445,1095.78
1446,1096.38
1447,1096.98
1448,1097.57
1449,1098.17
1450,1098.77
1451,1099.37
1452,1099.97
